Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2500,2016-11-08,2016-11-11,2,143,0,194,15,2,12,0,4,386,261.96,2,0.0,41.9136
2500,2016-11-08,2016-11-11,2,143,0,194,15,2,55,0,5,839,731.94,3,0.0,219.582
2296,2016-06-12,2016-06-16,2,237,1,266,3,3,946,1,10,1433,14.62,2,0.0,6.8714
4372,2015-10-11,2015-10-18,3,705,0,153,8,2,319,0,16,366,957.5775,5,0.45,-383.031
4372,2015-10-11,2015-10-18,3,705,0,153,8,2,1316,1,14,573,22.368,2,0.2,2.5164
201,2014-06-09,2014-06-14,3,88,0,266,3,3,185,0,9,570,48.86,7,0.0,14.1694
201,2014-06-09,2014-06-14,3,88,0,266,3,3,562,1,2,1129,7.28,4,0.0,1.9656
201,2014-06-09,2014-06-14,3,88,0,266,3,3,1761,2,13,1092,907.152,6,0.2,90.7152
201,2014-06-09,2014-06-14,3,88,0,266,3,3,794,1,3,499,18.504,3,0.2,5.7825
201,2014-06-09,2014-06-14,3,88,0,266,3,3,437,1,1,302,114.9,5,0.0,34.47
201,2014-06-09,2014-06-14,3,88,0,266,3,3,328,0,16,427,1706.184,9,0.2,85.3092
201,2014-06-09,2014-06-14,3,88,0,266,3,3,1750,2,13,965,911.424,4,0.2,68.3568
3084,2017-04-15,2017-04-20,3,2,0,96,31,2,1167,1,12,1756,15.552,3,0.2,5.4432
2655,2016-12-05,2016-12-10,3,338,0,452,45,3,781,1,3,648,407.976,3,0.2,132.5922
4390,2015-11-22,2015-11-26,3,330,2,154,41,0,421,1,1,822,68.81,5,0.8,-123.858
4390,2015-11-22,2015-11-26,3,330,2,154,41,0,663,1,3,1512,2.544,3,0.8,-3.816
81,2014-11-11,2014-11-18,3,597,0,272,47,0,1408,1,14,1518,665.88,6,0.0,13.3176
775,2014-05-13,2014-05-15,2,18,0,513,42,3,1294,1,14,660,55.5,2,0.0,9.99
527,2014-08-27,2014-09-01,2,792,0,438,3,3,567,1,2,1150,8.56,2,0.0,2.4824
527,2014-08-27,2014-09-01,2,792,0,438,3,3,1749,2,13,436,213.48,3,0.2,16.011
527,2014-08-27,2014-09-01,2,792,0,438,3,3,730,1,3,1633,22.72,4,0.2,7.384
2277,2016-12-09,2016-12-13,3,417,1,158,25,0,477,1,2,1124,19.46,7,0.0,5.0596
2277,2016-12-09,2016-12-13,3,417,1,158,25,0,408,1,1,78,60.34,7,0.0,15.6884
4959,2017-07-16,2017-07-18,2,684,0,374,36,1,95,0,5,746,71.372,2,0.3,-1.0196
890,2015-09-25,2015-09-30,3,249,0,351,42,3,319,0,16,366,1044.63,3,0.0,240.2649
2037,2016-01-16,2016-01-20,2,258,0,266,3,3,702,1,3,1624,11.648,2,0.2,4.2224
2037,2016-01-16,2016-01-20,2,258,0,266,3,3,1546,2,0,914,90.57,3,0.0,11.7741
4458,2015-09-17,2015-09-21,3,738,0,374,36,1,48,0,4,1351,3083.43,7,0.5,-1665.0522
4458,2015-09-17,2015-09-21,3,738,0,374,36,1,655,1,3,265,9.618,2,0.7,-7.0532
4458,2015-09-17,2015-09-21,3,738,0,374,36,1,310,0,9,881,124.2,3,0.2,15.525
4458,2015-09-17,2015-09-21,3,738,0,374,36,1,860,1,7,1284,3.264,2,0.2,1.1016
4458,2015-09-17,2015-09-21,3,738,0,374,36,1,610,1,2,279,86.304,6,0.2,9.7092
4458,2015-09-17,2015-09-21,3,738,0,374,36,1,695,1,3,73,6.858,6,0.7,-5.715
4458,2015-09-17,2015-09-21,3,738,0,374,36,1,526,1,2,1031,15.76,2,0.2,3.546
2970,2017-10-19,2017-10-23,2,482,2,207,41,0,1034,1,12,537,29.472,3,0.2,9.9468
1972,2016-12-08,2016-12-10,0,300,1,406,41,0,1861,2,13,725,1097.544,7,0.2,123.4737
1972,2016-12-08,2016-12-10,0,300,1,406,41,0,265,0,9,593,190.92,5,0.6,-147.963
1026,2015-12-27,2015-12-31,3,704,2,207,41,0,875,1,7,6,113.328,9,0.2,35.415
1026,2015-12-27,2015-12-31,3,704,2,207,41,0,20,0,4,167,532.3992,3,0.32,-46.9764
1026,2015-12-27,2015-12-31,3,704,2,207,41,0,120,0,5,752,212.058,3,0.3,-15.147
1026,2015-12-27,2015-12-31,3,704,2,207,41,0,1696,2,13,1273,371.168,4,0.2,41.7564
3208,2017-09-10,2017-09-15,3,452,1,321,11,0,1830,2,13,1244,147.168,4,0.2,16.5564
1718,2016-07-17,2016-07-22,3,617,1,266,3,3,1394,1,14,556,77.88,2,0.0,3.894
3586,2017-09-19,2017-09-23,3,278,1,288,8,2,1387,1,14,115,95.616,2,0.2,9.5616
1985,2016-03-11,2016-03-13,0,579,1,129,21,0,1462,2,0,1598,45.98,2,0.0,19.7714
1985,2016-03-11,2016-03-13,0,579,1,129,21,0,767,1,3,1637,17.46,2,0.0,8.2062
556,2014-10-20,2014-10-25,2,603,0,516,20,0,1352,1,14,776,211.96,4,0.0,8.4784
2782,2016-06-20,2016-06-25,3,461,0,124,6,1,1520,2,0,915,45.0,3,0.0,4.95
